Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Manufacturer,,Platform,Manufacturerid
LEGO Legends of Chima: Laval's Journey,3DS,2013,Adventure,Warner Bros. Interactive Entertainment,0.18,0.1,0,0.03,0.31,65,5,3.6,7,TT Games,E10+,Nintendo,,,
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,Action,THQ,0.22,0.08,0,0.01,0.31,,,,,,,Nintendo,,,
Super Robot Taisen Complete Box,PS,1999,Strategy,Banpresto,0,0,0.29,0.02,0.31,,,,,,,Sony,,,
Peppa Pig: Theme Park Fun,DS,2011,Misc,P2 Games,0,0.27,0,0.04,0.31,,,,,,,Nintendo,,,
Skylanders: SuperChargers,PS4,2015,Action,Activision,0.17,0.08,0,0.05,0.31,81,51,3.3,29,Vicarious Visions,E10+,Sony,,,
7 Wonders II,DS,2009,Puzzle,Rondomedia,0.13,0.15,0,0.03,0.31,60,5,tbd,,MumboJumbo,E,Nintendo,,,
My Horse & Me,Wii,2007,Sports,Atari,0.27,0.02,0,0.02,0.31,,,,,,,Nintendo,,,
Dark Void,X360,2010,Action,Capcom,0.19,0.09,0,0.03,0.31,59,69,6,61,Airtight Games,T,Microsoft,,,
Gold's Gym: Cardio Workout (Others sales),Wii,2008,Sports,Ubisoft,0,0.29,0,0.02,0.31,,,,,,,Nintendo,,,
Goemon's Great Adventure,N64,1998,Platform,Konami Digital Entertainment,0.06,0.02,0.13,0.1,0.31,,,,,,,Nintendo,,,
Hot Wheels Turbo Racing,N64,1999,Racing,Electronic Arts,0.25,0.06,0,0,0.31,,,,,,,Nintendo,,,
Vigilante 8,N64,1998,Racing,Activision,0.25,0.06,0,0,0.31,,,,,,,Nintendo,,,
Bass Hunter 64,N64,1999,Sports,Take-Two Interactive,0.25,0.06,0,0,0.31,,,,,,,Nintendo,,,
Doubutsu no Mori,N64,2001,Simulation,Nintendo,0,0,0.26,0.05,0.31,,,,,,,Nintendo,,,
Jikkyou Powerful Pro Yakyuu 4,N64,1997,Sports,Konami Digital Entertainment,0,0,0.26,0.05,0.31,,,,,,,Nintendo,,,
Happy Feet,DS,2006,Action,Midway Games,0.27,0.01,0,0.02,0.31,,,0.3,9,Artificial Mind and Movement,E,Nintendo,,,
Manhunt 2,PSP,2007,Action,Take-Two Interactive,0.04,0.17,0,0.09,0.31,69,15,8.1,38,Rockstar London,M,Sony,,,
Mega Man Maverick Hunter X,PSP,2005,Platform,Capcom,0.27,0.01,0,0.03,0.31,79,34,8.3,44,Capcom,E10+,Sony,,,
J-League Winning Eleven 2007: Club Championship,PS2,2007,Sports,Konami Digital Entertainment,0,0,0.31,0,0.31,,,,,,,Sony,,,
Barbie as The Island Princess,DS,2007,Adventure,Activision,0.28,0.01,0,0.02,0.31,,,tbd,,"Human Soft, Ivolgamus",E,Nintendo,,,
Star Wars Jedi Knight II: Jedi Outcast,XB,N/A,Shooter,Activision,0.23,0.07,0,0.01,0.31,81,24,6.8,15,Vicarious Visions,T,Microsoft,,,
Clash of the Titans,PS3,2010,Action,Namco Bandai Games,0.09,0.15,0.01,0.05,0.31,41,28,1.7,17,Game Republic,T,Sony,,,
Mega Man Battle Network 2,GBA,2002,Action,Ubisoft,0.22,0.08,0,0.01,0.31,81,15,9,21,Capcom,E,Nintendo,,,
Major League Baseball 2K8,PS3,2008,Sports,Bethesda Softworks,0.28,0,0,0.03,0.31,67,23,5.6,8,Kush Games,E,Sony,,,
Pandora's Tower,Wii,2011,Role-Playing,Nintendo,0.11,0.1,0.08,0.02,0.31,73,48,8,99,Ganbarion,T,Nintendo,,,
Mountain King,2600,1982,Action,CBS Electronics,0.29,0.02,0,0,0.31,,,,,,,Atari,,,
Jampack Volume 12,PS2,2005,Misc,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31,,,,,,,Sony,,,
Lord of the Rings: Battle for Middle-Earth,X360,2006,Strategy,Electronic Arts,0.28,0,0,0.02,0.31,,,,,,,Microsoft,,,
Shaun White Snowboarding,PS2,2008,Sports,Ubisoft,0.15,0.12,0,0.04,0.31,,,tbd,,Ubisoft,E10+,Sony,,,
SimAnimals,Wii,2009,Simulation,Electronic Arts,0.14,0.13,0,0.03,0.31,58,13,2.1,35,Electronic Arts,E,Nintendo,,,
Tiger Woods PGA Tour 06,X360,2005,Sports,Electronic Arts,0.28,0,0,0.02,0.31,71,36,7.4,8,EA Sports,E,Microsoft,,,
Shin Megami Tensei: Devil Summoner - Soul Hackers,SAT,1997,Role-Playing,Atlus,0,0,0.31,0,0.31,,,,,,,Sega,,,
MySims SkyHeroes,DS,2010,Action,Electronic Arts,0.2,0.08,0,0.02,0.31,,,tbd,,,,Nintendo,,,
Jonah Lomu Rugby Challenge,X360,2011,Sports,Home Entertainment Suppliers,0.09,0.19,0,0.03,0.31,73,14,6,8,Sidhe Interactive,E,Microsoft,,,
Demolition Racer,PS,1998,Racing,Infogrames,0.17,0.12,0,0.02,0.31,,,,,,,Sony,,,
Midway Arcade Treasures 2,XB,2004,Misc,Midway Games,0.24,0.05,0,0.01,0.31,74,38,7.4,7,Backbone Entertainment,M,Microsoft,,,
Final Fantasy IV,PS,1997,Simulation,SquareSoft,0,0,0.29,0.02,0.31,,,,,,,Sony,,,
The Incredible Hulk,Wii,2008,Action,Sega,0.28,0.01,0,0.02,0.31,46,21,tbd,,Edge of Reality,T,Nintendo,,,
NASCAR Thunder 2003,GC,2002,Racing,Electronic Arts,0.24,0.06,0,0.01,0.31,85,12,6.6,5,EA Sports,E,Nintendo,,,
SD Gundam G Generation: Overworld,PSP,2012,Strategy,Namco Bandai Games,0,0,0.31,0,0.31,,,,,,,Sony,,,
Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,2012,Role-Playing,Atlus,0.13,0.02,0.14,0.01,0.31,,,,,,,Nintendo,,,
Mega Man Zero Collection,DS,2010,Platform,Capcom,0.17,0.01,0.11,0.02,0.31,78,15,8.9,39,"Inti, Inti Creates",E,Nintendo,,,
SingStar Take That,PS3,2009,Misc,Sony Computer Entertainment,0,0.28,0,0.03,0.31,,,,,,,Sony,,,
NHL FaceOff 2000,PS,1998,Sports,Sony Computer Entertainment,0.17,0.12,0,0.02,0.31,,,,,,,Sony,,,
Pro Evolution Soccer 2013,X360,2012,Sports,Konami Digital Entertainment,0.08,0.2,0,0.03,0.31,82,33,6.9,77,Konami,E,Microsoft,,,
Star Wars Racer Revenge,PS2,2002,Racing,LucasArts,0.15,0.12,0,0.04,0.31,73,34,8.5,11,Rainbow Studios,E,Sony,,,
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,DS,2010,Strategy,Konami Digital Entertainment,0.18,0.01,0.09,0.02,0.31,,,,,,,Nintendo,,,
NCAA Final Four 2002,PS2,2001,Sports,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31,52,14,6.5,8,989 Sports,E,Sony,,,
South Park: Chef's Luv Shack,PS,1998,Misc,Acclaim Entertainment,0.17,0.12,0,0.02,0.31,,,,,,,Sony,,,
Cabela's Outdoor Adventures (2009),Wii,2009,Sports,Activision Value,0.28,0,0,0.02,0.31,,,7.8,4,FUN Labs,T,Nintendo,,,
Music Maker,PS2,2001,Misc,Magix,0.15,0.12,0,0.04,0.31,,,tbd,,Magix,E,Sony,,,
Slot Machine,2600,N/A,Action,Atari,0.29,0.02,0,0,0.31,,,,,,,Atari,,,
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993,Platform,Konami Digital Entertainment,0,0,0.31,0,0.31,,,,,,,Nintendo,,,
Shrek's Carnival Craze Party Games,Wii,2008,Misc,Activision,0.28,0,0,0.02,0.31,,,,,,,Nintendo,,,
Astroblast,2600,1981,Action,Mattel Interactive,0.29,0.02,0,0,0.31,,,,,,,Atari,,,
40 Winks,PS,1999,Platform,GT Interactive,0.17,0.12,0,0.02,0.31,,,,,,,Sony,,,
Blade II,PS2,2002,Action,Activision,0.15,0.12,0,0.04,0.31,49,21,6.1,14,Mucky Foot Productions,M,Sony,,,
Calvin Tucker's Redneck Jamboree,Wii,2008,Misc,Zoo Games,0.28,0,0,0.02,0.31,26,6,tbd,,Humagade,E10+,Nintendo,,,
My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,DS,2009,Misc,Mentor Interactive,0.29,0,0,0.02,0.31,,,,,,,Nintendo,,,
TRON: Evolution,X360,2010,Action,Disney Interactive Studios,0.24,0.05,0,0.02,0.31,58,51,6,41,Propaganda Games,T,Microsoft,,,
A Collection of Classic Games from the Intellivision,PS,1999,Misc,Activision,0.17,0.12,0,0.02,0.31,,,,,,,Sony,,,
Math Play,DS,2006,Puzzle,Ubisoft,0.28,0,0,0.02,0.31,,,tbd,,Denyu-Sha,E,Nintendo,,,
Bruce Lee: Quest of the Dragon,XB,2002,Fighting,Universal Interactive,0.23,0.07,0,0.01,0.31,32,24,2.4,10,Ronin Entertainment,T,Microsoft,,,
Spin Jam,PS,2000,Puzzle,Empire Interactive,0.17,0.12,0,0.02,0.31,,,,,,,Sony,,,
KuruKuru Kururin,GBA,2001,Puzzle,Nintendo,0,0,0.3,0.01,0.31,,,,,,,Nintendo,,,
Disney's The Emperor's New Groove,PS,2000,Platform,Sony Computer Entertainment,0.17,0.12,0,0.02,0.31,66,8,7.2,6,Disney Interactive,E,Sony,,,
Dragon Ball Z: Battle of Z,PS3,2014,Fighting,Namco Bandai Games,0.1,0.1,0.06,0.04,0.31,54,32,5.3,103,Artdink,T,Sony,,,
DmC: Devil May Cry,PS4,2015,Action,Capcom,0.12,0.13,0,0.05,0.31,,,,,,,Sony,,,
Disney's Stitch: Experiment 626,PS2,2002,Action,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31,59,17,7.8,4,High Voltage Software,E,Sony,,,
RPG Tsukuru 2,SNES,1996,Role-Playing,ASCII Entertainment,0,0,0.31,0,0.31,,,,,,,Nintendo,,,
Yuu Yuu Hakusho 2: Kakutou no Sho,SNES,1994,Fighting,Namco Bandai Games,0,0,0.31,0,0.31,,,,,,,Nintendo,,,
Orphen: Scion of Sorcery,PS2,2000,Role-Playing,Activision,0.15,0.12,0,0.04,0.31,54,15,5.8,8,Shade,T,Sony,,,
NBA Live 08,PSP,2007,Sports,Electronic Arts,0.28,0,0,0.02,0.31,73,11,6.2,5,EA Canada,E,Sony,,,
Star Wars Episode III: Revenge of the Sith,DS,2005,Action,Ubisoft,0.25,0.03,0,0.02,0.3,73,22,7.8,19,Ubisoft,E10+,Nintendo,,,
Ultimate Spider-Man,GBA,2005,Action,Activision,0.22,0.08,0,0.01,0.3,62,4,7.3,12,Vicarious Visions,E10+,Nintendo,,,
Midtown Madness 3,XB,2003,Racing,Microsoft Game Studios,0.23,0.07,0,0.01,0.3,76,41,8.3,30,Digital Illusions,E,Microsoft,,,
Shrek Swamp Kart Speedway,GBA,2002,Racing,TDK Mediactive,0.22,0.08,0,0.01,0.3,27,5,8.9,19,Prolific,E,Nintendo,,,
Gameboy Gallery,GB,1995,Misc,Nintendo,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
Contra 4,DS,2007,Shooter,Konami Digital Entertainment,0.28,0,0.01,0.02,0.3,83,38,8.4,45,WayForward,T,Nintendo,,,
Virtua Cop 2,SAT,1996,Shooter,Sega,0,0,0.3,0,0.3,,,,,,,Sega,,,
Ehrgeiz,PS,1998,Fighting,SquareSoft,0.17,0.12,0,0.02,0.3,,,,,,,Sony,,,
Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable,PSP,2005,Misc,Sega,0,0,0.3,0,0.3,,,,,,,Sony,,,
Spyro: Attack of the Rhynocs,GBA,2003,Platform,Universal Interactive,0.22,0.08,0,0.01,0.3,72,13,7.5,15,Digital Eclipse,E,Nintendo,,,
Monsters vs. Aliens,PS3,2009,Action,Activision,0.21,0.05,0,0.04,0.3,66,18,4.5,4,Beenox,E10+,Sony,,,
Army Men World War: Land,Sea,Air,PS,2000,Action,3DO,0.17,0.12,0,0.02,0.3,,,,,,,,
NASCAR 2011: The Game,X360,2011,Racing,Activision,0.29,0,0,0.02,0.3,62,24,4.1,14,Eutechnyx,E,Microsoft,,,
BlazBlue: Chrono Phantasma,PS3,2013,Fighting,Arc System Works,0.14,0,0.14,0.03,0.3,83,16,8.3,64,Arc System Works,T,Sony,,,
Dai-2-Ji Super Robot Taisen OG,PS3,2012,Strategy,Namco Bandai Games,0,0,0.3,0,0.3,,,,,,,Sony,,,
Naruto: Ninja Destiny (US sales),DS,2006,Fighting,Namco Bandai Games,0.3,0,0,0,0.3,,,,,,,Nintendo,,,
Kingdoms of Amalur: Reckoning,PC,2012,Role-Playing,Electronic Arts,0.14,0.13,0,0.03,0.3,81,25,6.6,1097,Big Huge Games,M,PC,,,
Jumping Flash!,PS,1995,Platform,Sony Computer Entertainment,0.05,0.03,0.21,0.02,0.3,,,,,,,Sony,,,
Mario Party: Star Rush,3DS,2016,Misc,Nintendo,0.08,0.13,0.08,0.02,0.3,68,37,6.8,16,"Nintendo, Nd Cube",E,Nintendo,,,
Karaoke Revolution Party,PS2,2005,Misc,Konami Digital Entertainment,0.15,0.12,0,0.04,0.3,78,25,tbd,,Harmonix Music Systems,E10+,Sony,,,
Burnout,GC,2002,Racing,Acclaim Entertainment,0.23,0.06,0,0.01,0.3,78,18,7.9,18,Criterion Games,E,Nintendo,,,
Lizzie McGuire 3: Homecoming Havoc,GBA,2005,Platform,Disney Interactive Studios,0.22,0.08,0,0.01,0.3,59,6,tbd,,Climax Group,E,Nintendo,,,
Chaos Legion,PS2,2003,Action,Capcom,0.15,0.12,0,0.04,0.3,65,34,8.2,58,Capcom,T,Sony,,,
Puyo Puyo 7,DS,2009,Puzzle,Sega,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
Charlie and the Chocolate Factory,GBA,2005,Adventure,Global Star,0.22,0.08,0,0.01,0.3,36,5,3.8,6,"High Voltage Software, Backbone Entertainment",E,Nintendo,,,
Neopets: The Darkest Faerie,PS2,2005,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.3,61,18,8.5,30,Idol Minds,E10+,Sony,,,
Blazing Heroes,SAT,1995,Role-Playing,Sega,0,0,0.3,0,0.3,,,,,,,Sega,,,
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016,Fighting,Namco Bandai Games,0.21,0.07,0,0.03,0.3,81,11,8.5,51,CyberConnect2,T,Microsoft,,,
Rhythm Tengoku,GBA,2006,Misc,Nintendo,0,0,0.3,0.01,0.3,,,,,,,Nintendo,,,
Super Robot Taisen W,DS,2007,Strategy,Banpresto,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
Cart World Series,PS,1997,Racing,Sony Computer Entertainment,0.17,0.11,0,0.02,0.3,,,,,,,Sony,,,
Shrek: Forever After,DS,2010,Platform,Activision,0.18,0.1,0,0.03,0.3,,,,,,,Nintendo,,,
Batman: Arkham VR,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.25,0,0,0.06,0.3,75,59,7.3,89,Rocksteady Studios,M,Sony,,,
Lumines ll,PSP,2006,Puzzle,Disney Interactive Studios,0.12,0.12,0,0.07,0.3,,,,,,,Sony,,,
24: The Game,PS2,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.3,62,53,8.2,40,SCE Studio Cambridge,M,Sony,,,
The Dukes of Hazzard II: Daisy Dukes It Out,PS,N/A,Racing,Unknown,0.17,0.11,0,0.02,0.3,53,5,tbd,,Sinister Games,E,Sony,,,
Famista '91,NES,1990,Sports,Namco Bandai Games,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
Madagascar,DS,2005,Platform,Activision,0.25,0.03,0,0.02,0.3,,,,,,,Nintendo,,,
The King of Fighters XIII,PS3,2011,Fighting,Rising Star Games,0.17,0.06,0.04,0.03,0.3,77,26,8.2,76,SNK Playmore,T,Sony,,,
Sniper Elite 3,X360,2014,Shooter,505 Games,0.16,0.12,0,0.03,0.3,,,6.6,26,Rebellion,M,Microsoft,,,
Super Robot Taisen OG: Original Generations Gaiden,PS2,2007,Strategy,Banpresto,0,0,0.3,0,0.3,,,,,,,Sony,,,
Lego Batman 3: Beyond Gotham,PSV,2014,Action,Warner Bros. Interactive Entertainment,0.05,0.19,0,0.07,0.3,,,7.7,12,TT Games,E10+,Sony,,,
Decathlete,SAT,1994,Sports,Sega,0,0,0.3,0,0.3,,,,,,,Sega,,,
Tom Clancy's Splinter Cell 3D,3DS,2011,Action,Ubisoft,0.14,0.07,0.07,0.02,0.3,53,32,5.5,26,Ubisoft,T,Nintendo,,,
Magna Carta 2,X360,2009,Role-Playing,Banpresto,0.13,0.07,0.07,0.02,0.3,69,49,7,57,"Banpresto, SoftMax",T,Microsoft,,,
Looney Tunes: Duck Amuck,DS,2007,Action,Warner Bros. Interactive Entertainment,0.28,0,0,0.02,0.3,66,16,tbd,,WayForward,E,Nintendo,,,
Shin Megami Tensei: Persona 2: Innocent Sin,PSP,2011,Role-Playing,Atlus,0.13,0.03,0.11,0.03,0.3,,,,,,,Sony,,,
Romance of the Three Kingdoms VIII,PS2,2002,Strategy,Tecmo Koei,0.05,0.04,0.19,0.01,0.3,77,14,8.9,17,Koei,E,Sony,,,
Fossil Fighters (JP sales),DS,2008,Role-Playing,Nintendo,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
Daikaijyuu Monogatari,SNES,1994,Role-Playing,Hudson Soft,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
Hard Hitter Tennis,PS2,2001,Sports,Midas Interactive Entertainment,0.15,0.11,0,0.04,0.3,,,tbd,,Mahou,E,Sony,,,
F1 2013,X360,2013,Racing,Codemasters,0.01,0.27,0,0.02,0.3,79,29,6.6,33,Codemasters,E,Microsoft,,,
Harvest Moon: The Tale of Two Towns,3DS,N/A,Simulation,Unknown,0.28,0,0,0.02,0.3,,,,,,,Nintendo,,,
Quake II,N64,1999,Shooter,Activision,0.24,0.06,0,0,0.3,,,,,,,Nintendo,,,
Monster Truck Madness 64,N64,1999,Racing,Take-Two Interactive,0.24,0.06,0,0,0.3,,,,,,,Nintendo,,,
Crazy Taxi: Catch a Ride,GBA,2003,Racing,THQ,0.21,0.08,0,0.01,0.3,48,14,5.9,8,Graphic State,E,Nintendo,,,
Nounai Aeshe: IQ Suppli DS,DS,2006,Misc,Spike,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
Final Fantasy XI: Wings of the Goddess,X360,2007,Role-Playing,Square Enix,0.26,0,0.02,0.02,0.3,63,4,5.8,5,Square Enix,T,Microsoft,,,
PowerUp Heroes,X360,2011,Fighting,Ubisoft,0.18,0.09,0,0.03,0.3,61,13,7.5,10,Ubisoft,E10+,Microsoft,,,
Jonas,DS,2009,Adventure,Disney Interactive Studios,0.27,0,0,0.02,0.3,45,4,tbd,,Altron,E,Nintendo,,,
Macross Digital Mission VF-X,PS,1997,Simulation,Namco Bandai Games,0,0,0.28,0.02,0.3,,,,,,,Sony,,,
Rayman 2: Revolution,PS2,2000,Platform,Ubisoft,0.15,0.11,0,0.04,0.3,90,16,8.2,42,Ubisoft,E,Sony,,,
Yu Yu Hakusho Ghost Files: Spirit Detective,GBA,2003,Action,Atari,0.21,0.08,0,0.01,0.3,,,,,,,Nintendo,,,
Super Bomberman 5,SNES,1997,Puzzle,Hudson Soft,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
One Piece Unlimited Cruise SP,3DS,2011,Action,Namco Bandai Games,0,0,0.3,0,0.3,46,20,7.3,14,Bandai Namco Games,,Nintendo,,,
Madden NFL 13,PSV,2012,Sports,Electronic Arts,0.28,0,0,0.02,0.3,63,6,7.3,38,EA Tiburon,E,Sony,,,
Army Men: Air Attack 2,PS,2000,Action,3DO,0.17,0.11,0,0.02,0.3,74,8,5.3,4,3DO,T,Sony,,,
NBA Live 2003,GC,N/A,Sports,Electronic Arts,0.23,0.06,0,0.01,0.3,82,11,8.2,5,EA Canada,E,Nintendo,,,
Stranglehold,PS3,2007,Shooter,Midway Games,0.24,0.02,0,0.03,0.3,77,22,7.9,48,Midway,M,Sony,,,
Pride FC: Fighting Championships,PS2,2003,Fighting,THQ,0.15,0.11,0,0.04,0.3,73,19,8.6,7,Anchor,M,Sony,,,
Eternal Ring,PS2,2000,Role-Playing,Ubisoft,0.1,0.07,0.1,0.03,0.3,62,13,5.3,9,From Software,T,Sony,,,
Dragon Force,SAT,1996,Strategy,Sega,0,0,0.3,0,0.3,,,,,,,Sega,,,
Dynasty Warriors 8: Xtreme Legends,PS4,2014,Action,Tecmo Koei,0.09,0.11,0.06,0.04,0.3,,,,,,,Sony,,,
Resident Evil Archives: Resident Evil,Wii,2008,Action,Capcom,0.16,0.04,0.08,0.02,0.3,76,11,8.9,41,Capcom,M,Nintendo,,,
Dynasty Warriors 6,X360,2007,Action,Tecmo Koei,0.15,0.06,0.06,0.02,0.3,60,42,7.4,22,Omega Force,T,Microsoft,,,
Silent Hill: Shattered Memories,PSP,2010,Action,Konami Digital Entertainment,0.09,0.13,0.01,0.07,0.3,73,28,7.5,43,"Climax Group, Climax Studios",M,Sony,,,
Dragon Quest Builders: Revive Alefgard,PSV,2016,Role-Playing,Square Enix,0,0,0.3,0,0.3,,,,,,,Sony,,,
Winning Post 2,SNES,1995,Sports,Tecmo Koei,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
Star Gladiator Episode: I Final Crusade,PS,1996,Fighting,Virgin Interactive,0.07,0.05,0.15,0.02,0.3,,,,,,,Sony,,,
Dance Dance Revolution Universe 3,X360,2008,Simulation,Konami Digital Entertainment,0.28,0,0,0.02,0.3,65,6,7.7,7,Konami,E,Microsoft,,,
Showdown: Legends of Wrestling,PS2,2004,Fighting,Acclaim Entertainment,0.15,0.11,0,0.04,0.3,55,24,6.1,7,Acclaim,T,Sony,,,
Sword Art Online: Hollow Fragment,PSV,2014,Role-Playing,Namco Bandai Games,0,0,0.3,0,0.3,67,28,7.6,131,Bandai Namco Games,T,Sony,,,
Imagine: Family Doctor,DS,2009,Simulation,Ubisoft,0.27,0.01,0,0.02,0.3,,,tbd,,Wizarbox,E,Nintendo,,,
Far East of Eden Zero,SNES,1995,Role-Playing,Hudson Soft,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
Full Spectrum Warrior,PS2,2005,Strategy,THQ,0.15,0.11,0,0.04,0.3,74,24,8,13,Pandemic Studios,M,Sony,,,
Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Wii,2010,Misc,Namco Bandai Games,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
The Sims 2: Pets,PS2,2006,Simulation,Electronic Arts,0.02,0.01,0,0.27,0.3,68,27,8,25,Maxis,T,Sony,,,
Wacky Races: Crash & Dash,Wii,2008,Racing,Eidos Interactive,0.27,0,0,0.02,0.3,,,,,,,Nintendo,,,
Power Pro Kun Pocket 6,GBA,2003,Sports,Konami Digital Entertainment,0,0,0.29,0.01,0.3,,,,,,,Nintendo,,,
Power Pro Kun Pocket 10,DS,2007,Sports,Konami Digital Entertainment,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
Finding Nemo: The Continuing Adventures,GBA,2004,Action,THQ,0.21,0.08,0,0.01,0.3,,,tbd,,Altron,E,Nintendo,,,
Spirit: Stallion of the Cimarron,GBA,2002,Platform,THQ,0.21,0.08,0,0.01,0.3,46,5,tbd,,Hyperspace Cowgirls,E,Nintendo,,,
The Suite Life of Zack & Cody: Circle of Spies,DS,2007,Action,Disney Interactive Studios,0.17,0.09,0,0.03,0.3,,,,,,,Nintendo,,,
Future Cop L.A.P.D.,PS,1997,Simulation,Electronic Arts,0.16,0.11,0,0.02,0.3,,,,,,,Sony,,,
MySims Party,DS,2009,Simulation,Electronic Arts,0.15,0.12,0,0.03,0.3,64,9,tbd,,EA Games,E,Nintendo,,,
Hamster Tarou,GB,1999,Simulation,Jorudan,0,0,0.3,0,0.3,,,,,,,Nintendo,,,
Fist of the North Star: Ken's Rage 2,PS3,2012,Fighting,Tecmo Koei,0,0,0.3,0,0.3,49,19,7,19,"Koei, Omega Force",M,Sony,,,
Shark Tale,GC,2004,Action,Activision,0.23,0.06,0,0.01,0.3,69,23,tbd,,Edge of Reality,E,Nintendo,,,
MLB SlugFest Loaded,PS2,2004,Sports,Midway Games,0.14,0.11,0,0.04,0.3,77,30,9.5,4,Point of View,T,Sony,,,
Squinkies,DS,2011,Misc,Activision,0.26,0.02,0,0.02,0.3,,,tbd,,Human Soft,E,Nintendo,,,
Rapala Pro Bass Fishing 2010,Wii,2010,Sports,Activision,0.22,0.05,0,0.03,0.3,,,tbd,,FUN Labs,E,Nintendo,,,
Teenage Mutant Ninja Turtles,XB,2003,Action,Konami Digital Entertainment,0.22,0.06,0,0.01,0.3,56,22,8.4,9,Konami,E,Microsoft,,,
Capcom Classics Collection Remixed,PSP,2006,Misc,Capcom,0.27,0,0,0.02,0.3,72,37,7,5,Digital Eclipse,T,Sony,,,
1701 A.D.,PC,2006,Simulation,Deep Silver,0,0.25,0,0.04,0.3,79,30,8.3,38,Related Designs,E10+,PC,,,
Lego Star Wars: The Force Awakens,XOne,2016,Action,Warner Bros. Interactive Entertainment,0.14,0.13,0,0.02,0.3,76,11,7,18,TT Games,E10+,Microsoft,,,
Little Deviants,PSV,2011,Platform,Sony Computer Entertainment,0.14,0.12,0,0.04,0.3,57,62,5.5,53,Bigbig Studios,E10+,Sony,,,
Spider-Man 3,PSP,2007,Platform,Activision,0.01,0.23,0,0.05,0.3,52,7,7.4,9,Treyarch,T,Sony,,,
AMF Bowling 2004,XB,2003,Sports,Mud Duck Productions,0.22,0.06,0,0.01,0.3,48,6,4.4,8,,,Microsoft,,,
N3: Ninety-Nine Nights,X360,2006,Action,Microsoft Game Studios,0.2,0.02,0.05,0.02,0.3,,,,,,,Microsoft,,,
Scooby-Doo! Night of 100 Frights,GC,2002,Platform,THQ,0.23,0.06,0,0.01,0.3,,,,,,,Nintendo,,,
Shrek the Third,DS,N/A,Action,Activision,0.26,0.01,0,0.02,0.3,70,16,6.5,4,Vicarious Visions,E,Nintendo,,,
Radiant Historia,DS,2010,Role-Playing,Atlus,0.19,0,0.09,0.01,0.29,85,30,9,81,Atlus,E10+,Nintendo,,,
Sorcery,PS3,2012,Action,Sony Computer Entertainment,0.14,0.11,0,0.05,0.29,70,52,7.3,57,The Workshop,E10+,Sony,,,
RealSports Boxing,2600,1986,Sports,Atari,0.28,0.02,0,0,0.29,,,,,,,Atari,,,
Imagine: Makeup Artist,DS,2020,Simulation,Ubisoft,0.27,0,0,0.02,0.29,,,tbd,,Ubisoft,E,Nintendo,,,
Harry Potter and the Order of the Phoenix,X360,2007,Action,Electronic Arts,0.24,0.03,0,0.02,0.29,68,38,6.8,20,EA Games,E10+,Microsoft,,,
Grandia II,PS2,2002,Role-Playing,Ubisoft,0.14,0.11,0,0.04,0.29,71,19,8.6,31,Game Arts,T,Sony,,,
Shaun White Snowboarding: World Stage,Wii,2009,Sports,Ubisoft,0.24,0.03,0,0.02,0.29,72,33,8.7,30,Ubisoft,E,Nintendo,,,
Spider-Man: Friend or Foe,X360,2007,Action,Activision,0.26,0.01,0,0.02,0.29,60,51,6.3,26,Next Level Games,E10+,Microsoft,,,
Guitar Hero: Van Halen,X360,2009,Misc,Activision,0.16,0.1,0,0.03,0.29,57,34,5.8,17,"Neversoft Entertainment, Underground Development",T,Microsoft,,,
Dreamworks Madagascar Kartz,PS3,2009,Racing,Activision,0.19,0.07,0,0.04,0.29,,,tbd,,Sidhe Interactive,E,Sony,,,
